Brand,Date,Facebook Page Impressions,Twitter Organic Impressions
Rockettes,6/3/2016,"805,178","43,999"
Rockettes,6/4/2016,"601,740","23,336"
Rockettes,6/5/2016,"601,655","26,790"
Rockettes,6/6/2016,"462,610","26,826"
Rockettes,6/7/2016,"1,097,184","93,035"
Rockettes,6/8/2016,"664,261","133,015"
Rockettes,6/9/2016,"662,254","33,736"
Rockettes,6/10/2016,"1,058,113","34,112"
Rockettes,6/11/2016,"864,337","22,102"
Rockettes,6/12/2016,"558,744","51,066"
Rockettes,6/13/2016,"738,122","44,577"
Rockettes,6/14/2016,"722,344","35,495"
Rockettes,6/15/2016,"687,910","72,431"
Rockettes,6/16/2016,"698,792","44,049"
Rockettes,6/17/2016,"1,046,520","45,847"
Rockettes,6/18/2016,"1,061,625","34,980"
Rockettes,6/19/2016,"677,879","30,410"
Rockettes,6/20/2016,"1,888,186","64,097"
Rockettes,6/21/2016,"2,744,964","51,296"
Rockettes,6/22/2016,"1,336,108","30,436"
Rockettes,6/23/2016,"1,365,724","95,900"
Rockettes,6/24/2016,"714,593","67,008"
Rockettes,6/25/2016,"598,404","27,559"
Rockettes,6/26/2016,"796,902","22,141"
Rockettes,6/27/2016,"839,937","55,576"
Rockettes,6/28/2016,"842,669","46,855"
Rockettes,6/29/2016,"861,607","55,448"
Rockettes,6/30/2016,"608,183","34,501"
Rockettes,7/1/2016,"1,307,272","49,317"
Rockettes,7/2/2016,"1,451,707","24,994"
Rockettes,7/3/2016,"1,136,928","25,115"
Rockettes,7/4/2016,"1,133,340","155,212"
Rockettes,7/5/2016,"1,035,759","72,901"
Rockettes,7/6/2016,"588,970","56,651"
Rockettes,7/7/2016,"649,575","47,710"
Rockettes,7/8/2016,"608,493","55,515"
Rockettes,7/9/2016,"684,763","30,060"
Rockettes,7/10/2016,"665,363","41,323"
Rockettes,7/11/2016,"658,200","54,495"
Rockettes,7/12/2016,"606,127","89,590"
Rockettes,7/13/2016,"2,113,170","43,032"
Rockettes,7/14/2016,"2,566,866","53,660"
Rockettes,7/15/2016,"1,111,837","60,795"
Rockettes,7/16/2016,"1,446,258","28,151"
Rockettes,7/17/2016,"1,542,664","23,881"
Rockettes,7/18/2016,"1,357,244","37,066"
Rockettes,7/19/2016,"1,745,165","41,983"
Rockettes,7/20/2016,"1,476,790","94,193"
Rockettes,7/21/2016,"791,078","57,262"
Rockettes,7/22/2016,"1,067,414","46,634"
Rockettes,7/23/2016,"1,095,318","44,177"
Rockettes,7/24/2016,"1,043,024","34,281"
Rockettes,7/25/2016,"884,853","64,765"
Rockettes,7/26/2016,"753,632","83,383"
