DATE,AWND,PRCP,SNOW,TMAX,TMIN
11/29/2016,4.92,2.2,0,60,51
11/30/2016,6.26,0.73,0,58,50
12/1/2016,7.61,0.07,0,54,42
12/2/2016,8.72,0,0,51,40
12/3/2016,8.72,0,0,47,41
12/4/2016,4.92,0,0,47,39
12/5/2016,5.59,0.19,0,49,38
12/6/2016,5.37,0.35,0,46,37
12/7/2016,3.8,0.09,0,46,40
12/8/2016,3.8,0,0,45,35
12/9/2016,3.8,0,0,39,29
12/10/2016,6.04,0,0,35,28
12/11/2016,4.03,0.03,0.4,35,28
12/12/2016,6.26,0.5,0,46,34
12/13/2016,4.03,0,0,43,35
12/14/2016,5.59,0,0,42,34
12/15/2016,10.96,0,0,34,19
12/16/2016,6.04,0,0,27,17
12/17/2016,4.25,0.73,2.8,39,24
12/18/2016,7.38,0.04,0,58,31
12/19/2016,6.71,0,0,31,23
12/20/2016,3.13,0,0,33,20
12/21/2016,2.91,0,0,40,30
12/22/2016,6.26,0,0,49,37
12/23/2016,6.49,0,0,47,38
12/24/2016,4.92,0.47,0,47,38
12/25/2016,6.26,0,0,50,36
12/26/2016,6.49,0.02,0,50,33
12/27/2016,7.16,0,0,60,40
12/28/2016,5.14,0,0,40,34
12/29/2016,5.37,0.39,0,46,33
12/30/2016,9.4,0.01,0,40,33
12/31/2016,6.93,0,0,44,31
1/1/2017,5.59,0,0,48,40
1/2/2017,9.17,0.21,0,41,37
1/3/2017,10.74,0.58,0,43,39
1/4/2017,8.05,0,0,52,34
1/5/2017,7.83,0,0,34,27
1/6/2017,4.7,0.05,1.2,33,25
1/7/2017,7.61,0.32,5.1,26,20
1/8/2017,8.72,0,0,25,16
1/9/2017,5.14,0,0,23,14
1/10/2017,4.7,0,0,46,21
1/11/2017,5.82,0.52,0,52,42
1/12/2017,7.61,0.05,0,66,47
1/13/2017,7.16,0,0,62,32
1/14/2017,4.25,0.12,0.6,34,28
1/15/2017,4.25,0,0,38,30
1/16/2017,4.7,0,0,43,30
1/17/2017,4.92,0.35,0,42,38
1/18/2017,5.82,0.06,0,41,38
1/19/2017,3.58,0,0,49,39
1/20/2017,4.03,0.1,0,45,40
1/21/2017,3.8,0,0,49,41
1/22/2017,6.71,0.05,0,48,43
1/23/2017,18.34,1.16,0,44,36
1/24/2017,10.07,1.18,0,38,35
1/25/2017,6.71,0,0,51,36
1/26/2017,6.71,0.02,0,56,43
1/27/2017,8.95,0,0,43,36
1/28/2017,7.83,0,0,39,34
1/29/2017,5.82,0,0,43,35
1/30/2017,6.26,0,0,37,30
1/31/2017,4.03,0.06,1,34,26
2/1/2017,5.82,0,0,47,33
2/2/2017,5.37,0,0,45,32
2/3/2017,6.71,0,0,33,26
2/4/2017,8.5,0,0,34,22
2/5/2017,7.16,0,0,43,31
2/6/2017,5.14,0,0,49,36
2/7/2017,6.71,0.27,0,42,36
2/8/2017,4.7,0.03,0,62,38
2/9/2017,12.3,1.16,9.4,44,19
2/10/2017,8.5,0,0,32,19
2/11/2017,4.03,0,0,48,30
2/12/2017,7.16,0.46,0,40,30
2/13/2017,12.3,0.02,0,39,31
2/14/2017,5.37,0,0,41,28
2/15/2017,6.49,0,0,47,35
2/16/2017,10.51,0,0,35,28
2/17/2017,8.5,0,0,41,26
2/18/2017,5.82,0,0,63,35
2/19/2017,5.59,0,0,65,53
2/20/2017,7.38,0,0,55,39
2/21/2017,5.82,0,0,47,34
2/22/2017,2.91,0,0,57,42
2/23/2017,3.58,0,0,65,44
2/24/2017,6.04,0,0,70,58
2/25/2017,6.71,0.54,0,63,44
2/26/2017,8.95,0,0,44,36
2/27/2017,5.59,0,0,54,35
2/28/2017,4.03,0,0,59,47
3/1/2017,6.04,0.12,0,70,54
3/2/2017,11.41,0,0,64,35
3/3/2017,8.28,0,0,39,24
3/4/2017,8.95,0,0,30,17
3/5/2017,5.37,0,0,37,14
3/6/2017,3.36,0,0,45,26
3/7/2017,4.25,0.1,0,56,42
3/8/2017,7.61,0.02,0,59,47
3/9/2017,8.72,0,0,61,47
3/10/2017,7.61,0.31,2.1,47,23
3/11/2017,9.62,0,0,29,17
3/12/2017,8.95,0,0,29,19
3/13/2017,4.47,0,0,36,20
3/14/2017,13.42,1.97,7.6,32,21
3/15/2017,11.63,0,0,26,20
3/16/2017,7.83,0,0,39,24
3/17/2017,6.49,0,0,47,29
3/18/2017,8.72,0.08,0,39,34
3/19/2017,8.28,0,0,47,34
3/20/2017,5.14,0,0,52,33
3/21/2017,4.03,0,0,59,42
3/22/2017,11.41,0,0,50,24
3/23/2017,4.92,0,0,42,23
3/24/2017,6.26,0,0,57,36
3/25/2017,6.71,0.01,0,62,42
3/26/2017,8.28,0.14,0,42,37
3/27/2017,4.25,0.26,0,53,37
3/28/2017,5.82,0.72,0,46,41
3/29/2017,7.83,0,0,60,42
3/30/2017,5.82,0.01,0,52,38
3/31/2017,10.29,1.51,0,43,37
4/1/2017,7.61,0,0,48,37
4/2/2017,5.37,0,0,63,40
4/3/2017,4.92,0.03,0,63,48
4/4/2017,6.93,1.18,0,51,45
