Row Number,Date,traffic
525,6-Oct-16,9133
526,7-Oct-16,7837
527,8-Oct-16,10014
528,9-Oct-16,11587
529,10-Oct-16,9633
530,11-Oct-16,11660
531,12-Oct-16,20959
532,13-Oct-16,11973
533,14-Oct-16,19409
534,15-Oct-16,26088
535,16-Oct-16,12701
536,17-Oct-16,11332
537,18-Oct-16,17694
538,19-Oct-16,11726
539,20-Oct-16,16797
540,21-Oct-16,12991
541,22-Oct-16,18577
542,23-Oct-16,14018
543,24-Oct-16,22466
544,25-Oct-16,58564
545,26-Oct-16,44281
546,27-Oct-16,35928
547,28-Oct-16,17053
548,29-Oct-16,13190
549,30-Oct-16,16358
550,31-Oct-16,14435
551,1-Nov-16,28354
552,2-Nov-16,40198
553,3-Nov-16,50826
554,4-Nov-16,52892
555,5-Nov-16,35885
556,6-Nov-16,34705
557,7-Nov-16,50128
558,8-Nov-16,31809
559,9-Nov-16,20785
560,10-Nov-16,27000
561,11-Nov-16,26790
562,12-Nov-16,38451
563,13-Nov-16,35511
564,14-Nov-16,29216
565,15-Nov-16,31741
566,16-Nov-16,29742
567,17-Nov-16,31768
568,18-Nov-16,34965
569,19-Nov-16,26979
570,20-Nov-16,30058
571,21-Nov-16,30014
572,22-Nov-16,35368
573,23-Nov-16,27533
574,24-Nov-16,35818
575,25-Nov-16,44546
576,26-Nov-16,33856
577,27-Nov-16,36686
578,28-Nov-16,52877
579,29-Nov-16,46908
580,30-Nov-16,42393
581,1-Dec-16,39737
582,2-Dec-16,30586
583,3-Dec-16,30598
584,4-Dec-16,35445
585,5-Dec-16,35824
586,6-Dec-16,28959
587,7-Dec-16,26226
588,8-Dec-16,26728
589,9-Dec-16,40964
590,10-Dec-16,33385
591,11-Dec-16,29403
592,12-Dec-16,29528
593,13-Dec-16,29647
594,14-Dec-16,28553
595,15-Dec-16,27748
596,16-Dec-16,26755
597,17-Dec-16,23894
598,18-Dec-16,24552
599,19-Dec-16,26930
600,20-Dec-16,28518
601,21-Dec-16,26987
602,22-Dec-16,27746
603,23-Dec-16,26949
604,24-Dec-16,17844
605,25-Dec-16,19013
606,26-Dec-16,21691
607,27-Dec-16,24576
608,28-Dec-16,22726
609,29-Dec-16,22012
610,30-Dec-16,13717
611,31-Dec-16,8279
612,1-Jan-17,8561
613,2-Jan-17,7447
614,3-Jan-17,14511
615,4-Jan-17,11015
616,5-Jan-17,8739
617,6-Jan-17,9001
618,7-Jan-17,9802
619,8-Jan-17,5142
620,9-Jan-17,4602
621,10-Jan-17,5064
622,11-Jan-17,4213
623,12-Jan-17,4532
624,13-Jan-17,7665
625,14-Jan-17,10128
626,15-Jan-17,11915
627,16-Jan-17,10666
628,17-Jan-17,9544
629,18-Jan-17,8202
630,19-Jan-17,5371
631,20-Jan-17,9119
632,21-Jan-17,3287
633,22-Jan-17,3601
634,23-Jan-17,2773
635,24-Jan-17,3159
636,25-Jan-17,5320
637,26-Jan-17,10494
638,27-Jan-17,9076
639,28-Jan-17,10101
640,29-Jan-17,6114
641,30-Jan-17,5217
642,31-Jan-17,7095
643,1-Feb-17,5079
644,2-Feb-17,5248
645,3-Feb-17,6135
646,4-Feb-17,7461
647,5-Feb-17,8221
648,6-Feb-17,5678
649,7-Feb-17,5741
650,8-Feb-17,4544
651,9-Feb-17,5758
652,10-Feb-17,6959
653,11-Feb-17,7114
654,12-Feb-17,4733
655,13-Feb-17,2420
656,14-Feb-17,2719
657,15-Feb-17,4963
658,16-Feb-17,8433
659,17-Feb-17,8228
660,18-Feb-17,11139
661,19-Feb-17,11278
662,20-Feb-17,7522
663,21-Feb-17,7645
664,22-Feb-17,7216
665,23-Feb-17,5082
666,24-Feb-17,3482
667,25-Feb-17,3566
668,26-Feb-17,3841
669,27-Feb-17,2908
670,28-Feb-17,3801
671,1-Mar-17,3174
672,2-Mar-17,5285
673,3-Mar-17,8726
674,4-Mar-17,6629
675,5-Mar-17,7149
676,6-Mar-17,6180
677,7-Mar-17,4784
678,8-Mar-17,3574
679,9-Mar-17,3713
680,10-Mar-17,6641
681,11-Mar-17,8074
682,12-Mar-17,8382
683,13-Mar-17,8394
684,14-Mar-17,5680
685,15-Mar-17,3671
686,16-Mar-17,6397
687,17-Mar-17,13811
688,18-Mar-17,12554
689,19-Mar-17,11008
690,20-Mar-17,6932
691,21-Mar-17,5488
692,22-Mar-17,4634
693,23-Mar-17,4097
694,24-Mar-17,3867
695,25-Mar-17,2758
696,26-Mar-17,7776
697,27-Mar-17,5046
698,28-Mar-17,5728
699,29-Mar-17,5223
700,30-Mar-17,5031
701,31-Mar-17,5976
702,1-Apr-17,5207
703,2-Apr-17,3806
704,3-Apr-17,2881
705,4-Apr-17,5801
706,5-Apr-17,10178
707,6-Apr-17,5578
708,7-Apr-17,4185
709,8-Apr-17,3663
710,9-Apr-17,6208
711,10-Apr-17,7241
712,11-Apr-17,9020
713,12-Apr-17,6591
714,13-Apr-17,4353
715,14-Apr-17,4746
716,15-Apr-17,3651
717,16-Apr-17,3484
718,17-Apr-17,3681
719,18-Apr-17,2459
720,19-Apr-17,4197
721,20-Apr-17,4468
722,21-Apr-17,6611
723,22-Apr-17,6251
724,23-Apr-17,4626
725,24-Apr-17,3249
726,25-Apr-17,3287
727,26-Apr-17,3111
728,27-Apr-17,2755
729,28-Apr-17,14505
730,29-Apr-17,9275
731,30-Apr-17,4487
732,1-May-17,2843
733,2-May-17,2896
734,3-May-17,6302
735,4-May-17,3307
736,5-May-17,2441
737,6-May-17,2981
738,7-May-17,5054
739,8-May-17,3862
740,9-May-17,12544
741,10-May-17,30437
742,11-May-17,30209
743,12-May-17,16719
744,13-May-17,10883
745,14-May-17,5308
746,15-May-17,4480
747,16-May-17,6734
748,17-May-17,6940
749,18-May-17,4401
750,19-May-17,2808
751,20-May-17,2946
752,21-May-17,2816
753,22-May-17,3142
754,23-May-17,7218
755,24-May-17,6736
756,25-May-17,3386
757,26-May-17,2324
758,27-May-17,3115
759,28-May-17,3319
760,29-May-17,2652
761,30-May-17,2711
762,31-May-17,2605
763,1-Jun-17,4013
764,2-Jun-17,3744
765,3-Jun-17,7433
766,4-Jun-17,3933
767,5-Jun-17,2629
768,6-Jun-17,2417
769,7-Jun-17,2955
770,8-Jun-17,4909
771,9-Jun-17,2780
772,10-Jun-17,2118
773,11-Jun-17,5250
774,12-Jun-17,4745
775,13-Jun-17,3852
776,14-Jun-17,3657
777,15-Jun-17,3484
778,16-Jun-17,2727
779,17-Jun-17,1968
780,18-Jun-17,3913
781,19-Jun-17,6945
782,20-Jun-17,4134
783,21-Jun-17,3282
784,22-Jun-17,2445
785,23-Jun-17,2413
786,24-Jun-17,2784
787,25-Jun-17,2820
788,26-Jun-17,2882
789,27-Jun-17,3034
790,28-Jun-17,4090
791,29-Jun-17,3055
792,30-Jun-17,3401
793,1-Jul-17,4527
794,2-Jul-17,3375
795,3-Jul-17,2409
796,4-Jul-17,2547
797,5-Jul-17,5088
798,6-Jul-17,3029
799,7-Jul-17,2349
800,8-Jul-17,2840
801,9-Jul-17,3553
802,10-Jul-17,2858
803,11-Jul-17,2832
804,12-Jul-17,2719
805,13-Jul-17,4404
806,14-Jul-17,3225
807,15-Jul-17,2982
808,16-Jul-17,2513
809,17-Jul-17,2994
810,18-Jul-17,2840
811,19-Jul-17,3157
812,20-Jul-17,4563
813,21-Jul-17,2938
814,22-Jul-17,3550
815,23-Jul-17,2246
816,24-Jul-17,2290
817,25-Jul-17,2160
818,26-Jul-17,2433
819,27-Jul-17,3443
820,28-Jul-17,2976
821,29-Jul-17,3340
822,30-Jul-17,3275
823,31-Jul-17,3423
824,1-Aug-17,2804
825,2-Aug-17,5237
826,3-Aug-17,5380
827,4-Aug-17,3183
828,5-Aug-17,3006
829,6-Aug-17,3227
830,7-Aug-17,3339
831,8-Aug-17,3881
832,9-Aug-17,3630
833,10-Aug-17,12241
834,11-Aug-17,6339
835,12-Aug-17,5534
836,13-Aug-17,4670
837,14-Aug-17,4437
838,15-Aug-17,4111
839,16-Aug-17,8462
840,17-Aug-17,8462
841,18-Aug-17,8462
842,19-Aug-17,8462
843,20-Aug-17,8462
844,21-Aug-17,8462
845,22-Aug-17,8462
846,23-Aug-17,8462
847,24-Aug-17,8462
848,25-Aug-17,8462
849,26-Aug-17,8462
850,27-Aug-17,8462
851,28-Aug-17,8462
852,29-Aug-17,8462
853,30-Aug-17,8462
854,31-Aug-17,8462
855,1-Sep-17,8462
856,2-Sep-17,8462
857,3-Sep-17,8462
858,4-Sep-17,8462
859,5-Sep-17,8462
860,6-Sep-17,8462
861,7-Sep-17,8462
862,8-Sep-17,8462
863,9-Sep-17,8462
864,10-Sep-17,8462
865,11-Sep-17,8462
866,12-Sep-17,8462
867,13-Sep-17,8462
868,14-Sep-17,8462
869,15-Sep-17,8462
870,16-Sep-17,8462
871,17-Sep-17,8462
872,18-Sep-17,8462
873,19-Sep-17,8462
874,20-Sep-17,8462
875,21-Sep-17,8462
876,22-Sep-17,8462
877,23-Sep-17,8462
878,24-Sep-17,8462
879,25-Sep-17,8462
880,26-Sep-17,8462
881,27-Sep-17,8462
882,28-Sep-17,8462
883,29-Sep-17,8462
884,30-Sep-17,8462
885,1-Oct-17,8462
886,2-Oct-17,8462
887,3-Oct-17,8462
888,4-Oct-17,8462
889,5-Oct-17,8462
890,6-Oct-17,8462
891,7-Oct-17,8462
892,8-Oct-17,8462
893,9-Oct-17,8462
894,10-Oct-17,8462
895,11-Oct-17,8462
896,12-Oct-17,8462
897,13-Oct-17,8462
898,14-Oct-17,8462
899,15-Oct-17,8462
900,16-Oct-17,8462
901,17-Oct-17,8462
902,18-Oct-17,8462
903,19-Oct-17,8462
904,20-Oct-17,8462
905,21-Oct-17,8462
906,22-Oct-17,8462
907,23-Oct-17,8462
908,24-Oct-17,8462
909,25-Oct-17,8462
910,26-Oct-17,8462
911,27-Oct-17,8462
912,28-Oct-17,8462
913,29-Oct-17,8462
914,30-Oct-17,8462
915,31-Oct-17,8462
916,1-Nov-17,8462
917,2-Nov-17,8462
918,3-Nov-17,8462
919,4-Nov-17,8462
920,5-Nov-17,8462
921,6-Nov-17,8462
922,7-Nov-17,8462
923,8-Nov-17,8462
924,9-Nov-17,8462
925,10-Nov-17,8462
926,11-Nov-17,8462
927,12-Nov-17,8462
928,13-Nov-17,8462
929,14-Nov-17,8462
930,15-Nov-17,8462
931,16-Nov-17,8462
932,17-Nov-17,8462
933,18-Nov-17,8462
934,19-Nov-17,8462
935,20-Nov-17,8462
936,21-Nov-17,8462
937,22-Nov-17,8462
938,23-Nov-17,8462
939,24-Nov-17,8462
940,25-Nov-17,8462
941,26-Nov-17,8462
942,27-Nov-17,8462
943,28-Nov-17,8462
944,29-Nov-17,8462
945,30-Nov-17,8462
946,1-Dec-17,8462
947,2-Dec-17,8462
948,3-Dec-17,8462
949,4-Dec-17,8462
950,5-Dec-17,8462
951,6-Dec-17,8462
952,7-Dec-17,8462
953,8-Dec-17,8462
954,9-Dec-17,8462
955,10-Dec-17,8462
956,11-Dec-17,8462
957,12-Dec-17,8462
958,13-Dec-17,8462
959,14-Dec-17,8462
960,15-Dec-17,8462
961,16-Dec-17,8462
962,17-Dec-17,8462
963,18-Dec-17,8462
964,19-Dec-17,8462
965,20-Dec-17,8462
966,21-Dec-17,8462
967,22-Dec-17,8462
968,23-Dec-17,8462
969,24-Dec-17,8462
970,25-Dec-17,8462
971,26-Dec-17,8462
972,27-Dec-17,8462
973,28-Dec-17,8462
974,29-Dec-17,8462
975,30-Dec-17,8462
976,31-Dec-17,8462
977,1-Jan-18,8462
